"claim","503"
"next-build-number","506"
"maven-info","518"
"clearcase","521"
"sloccount","522"
"url-change-trigger","531"
"xvnc","531"
"ruby","531"
"locale","534"
"xfpanel","537"
"monitoring","540"
"changelog-history","542"
"redmine","542"
"port-allocator","543"
"nested-view","551"
"seleniumhq","576"
"template-project","579"
"hudsontrayapp","586"
"timestamper","588"
"groovy","591"
"iphoneview","601"
"copy-to-slave","604"
"downstream-ext","605"
"jobConfigHistory","607"
"doxygen","607"
"description-setter","610"
"artifactory","612"
"rake","633"
"sectioned-view","646"
"versionnumber","647"
"ftppublisher","652"
"doclinks","660"
"join","660"
"python","671"
"trac","704"
"dependencyanalyzer","704"
"perforce","722"
"github","725"
"text-finder","730"
"hudson-pview-plugin","740"
"copyarchiver","763"
"statusmonitor","786"
"jdepend","791"
"nunit","811"
"ssh","838"
"svn-release-mgr","843"
"jabber","851"
"downstream-buildview","856"
"log-parser","856"
"performance","866"
"sidebar-link","871"
"clover","873"
"release","885"
"radiatorviewplugin","907"
"promoted-builds","909"
"audit-trail","940"
"mercurial","953"
"plot","1034"
"locks-and-latches","1063"
"copyartifact","1079"
"m2-extra-steps","1156"
"ci-game","1173"
"emma","1243"
"batch-task","1268"
"msbuild","1293"
"emotional-hudson","1293"
"setenv","1332"
"svn-tag","1334"
"postbuild-task","1345"
"instant-messaging","1367"
"m2release","1394"
"xunit","1447"
"scp","1457"
"dry","1526"
"parameterized-trigger","1533"
"build-timeout","1612"
"deploy","1615"
"active-directory","1627"
"backup","1650"
"jira","1665"
"tasks","1723"
"htmlpublisher","1773"
"dashboard-view","1872"
"analysis-collector","2004"
"violations","2069"
"chucknorris","2072"
"sonar","2262"
"disk-usage","2292"
"warnings","2343"
"pmd","2487"
"git","2710"
"findbugs","2792"
"checkstyle","2834"
"cobertura","2905"
"greenballs","3440"
"scis-ad","3558"
"email-ext","3802"
"analysis-core","5440"
"cvs","13107"
"maven-plugin","13618"
"subversion","13897"
"ssh-slaves","13954"
